week,state,total_sequences,alpha_pct,beta_pct,gamma_pct,delta_pct,omicron_pct,other_pct
2021-07-12,California,26579,0.01775838067647391,1.504947514955416e-4,0.014334625079950336,0.9386733887655668,0,0.029083110726513352
2021-07-26,California,38961,0.00564667231333898,0,0.006622006622006622,0.9755653088986422,0,0.012166012166012211
2021-08-09,California,26879,0.0015997618959038655,0,0.0027902823765765094,0.9864578295323487,0,0.009152126195170933
2021-08-23,California,19686,7.111652951335975e-4,0,8.635578583765112e-4,0.9924819668800162,0,0.005943309966473671
2021-09-06,California,16433,0.0018255948396519199,0,0.0013996227103998053,0.985760360250715,0,0.011014422199233244
2021-09-20,California,13669,7.315824127587973e-5,0,0,0.9982442022093789,0,0.0016826395493452218
2021-10-04,California,13713,0,0,0,0.9986873769415883,0,0.0013126230584117327
2021-10-18,California,17688,0,0,0,0.9983604703753958,0,0.0016395296246042301
2021-11-01,California,20334,0,0,0,0.997934493951018,4.91787154519524e-5,0.002016327333530083
2021-11-15,California,15726,0,0,0,0.9970113188350502,3.1794480478188986e-4,0.0026707363601678794
2021-11-29,California,20502,0,0,0,0.9868305531167691,0.012779241049653693,3.9020583357715806e-4
2021-12-13,California,32943,0,0,0,0.3402847342379261,0.6593206447500227,3.946210120512328e-4
2021-12-27,California,26198,0,0,0,0.049622108557905185,0.9499198412092527,4.580502328421776e-4
2022-01-10,California,19225,0,0,0,0.00977893368010403,0.9901690507152145,5.201560468137689e-5
2022-01-24,California,18336,0,0,0,0.0025087260034904013,0.9974367364746946,5.453752181505678e-5
2022-02-07,California,21802,0,0,0,5.504082194294101e-4,0.9993119897257132,1.3760205485735533e-4
2022-02-21,California,8086,0,0,0,7.420232500618352e-4,0.9976502597081375,0.001607717041800738
2022-03-07,California,1405,0,0,0,0,0.997864768683274,0.002135231316725994
2020-04-27,Colorado,242,0,0,0,0,0,1
2020-05-11,Colorado,241,0,0,0,0,0,1
2020-05-25,Colorado,147,0,0,0,0,0,1
2020-06-08,Colorado,135,0,0,0,0,0,1
2020-06-22,Colorado,216,0,0,0,0,0,1
2020-07-06,Colorado,672,0,0,0,0,0,1
2020-07-20,Colorado,499,0,0,0,0,0,1
2020-08-03,Colorado,281,0,0,0,0,0,1
2020-08-17,Colorado,252,0,0,0,0,0,1
2020-08-31,Colorado,200,0,0,0,0,0,1
2020-09-14,Colorado,519,0,0,0,0,0,1
2020-09-28,Colorado,557,0,0,0,0,0,1
2020-10-12,Colorado,647,0,0,0,0,0,1
2020-10-26,Colorado,277,0,0,0,0,0,1
2020-11-09,Colorado,410,0,0,0,0,0,1
2020-11-23,Colorado,393,0,0,0,0,0,1
2020-12-07,Colorado,387,0,0,0,0,0,1
2020-12-21,Colorado,472,0.012711864406779662,0,0,0,0,0.9872881355932204
2021-01-11,Colorado,423,0.028368794326241134,0,0,0,0,0.9716312056737588
2021-01-25,Colorado,415,0.05783132530120482,0,0,0,0,0.9421686746987952
2021-02-08,Colorado,416,0.1201923076923077,0.002403846153846154,0,0,0,0.8774038461538461
2021-02-22,Colorado,737,0.26322930800542743,0.012211668928086838,0,0,0,0.7245590230664858
2021-03-08,Colorado,1435,0.44947735191637633,0.0062717770034843206,0.004181184668989547,0,0,0.5400696864111497
2021-03-22,Colorado,1996,0.6432865731462926,0.0035070140280561123,0.008517034068136272,0,0,0.3446893787575151
2021-04-05,Colorado,2442,0.7084357084357085,0.0036855036855036856,0.020884520884520884,0,0,0.266994266994267
2021-04-19,Colorado,2500,0.796,0.0036,0.0364,0.0116,0,0.15239999999999998
2021-05-03,Colorado,3291,0.7982376177453662,0.002430872075357034,0.03555150410209663,0.05591005773321179,0,0.1078699483439684
2021-05-17,Colorado,2087,0.6952563488260661,0.0014374700527072352,0.04024916147580259,0.1796837565884044,0,0.08337326305701964
2021-05-31,Colorado,1351,0.4900074019245004,0,0.029607698001480384,0.4256106587712805,0,0.05477424130273867
2021-06-14,Colorado,1091,0.18331805682859761,0,0.03299725022914757,0.7561869844179652,0,0.027497708524289677
2021-06-28,Colorado,1499,0.058038692461641096,0,0.01734489659773182,0.8879252835223482,0,0.03669112741827889
2021-07-12,Colorado,2467,0.02553708958248885,0,0.004864207539521687,0.9493311714633158,0,0.020267531414673606
2021-07-26,Colorado,3931,0.006105316713304503,5.087763927753752e-4,0.002035105571101501,0.9819384380564742,0,0.00941236326634446
2021-08-09,Colorado,4546,0.0015398152221733391,2.199736031676199e-4,0,0.993620765508139,0,0.00461944566651995
2021-08-23,Colorado,5182,3.8595137012736397e-4,0,0,0.9984561945194905,0,0.0011578541103821616
2021-09-06,Colorado,6300,1.5873015873015873e-4,0,0,0.9987301587301587,0,0.0011111111111111738
2021-09-20,Colorado,7212,0,0,1.3865779256794233e-4,0.9991680532445923,0,6.932889628397109e-4
2021-10-04,Colorado,9695,0,0,0,0.9993811242908716,0,6.188757091284414e-4
2021-10-18,Colorado,10789,9.268699601445917e-5,0,0,0.9989804430438409,9.268699601445917e-5,8.341829641301126e-4
2021-11-01,Colorado,15749,0,0,6.34960949901581e-5,0.9986030859102165,0,0.0013334179947933273
2021-11-15,Colorado,11336,0,0,0,0.9964714184897672,0.0018525052928722655,0.0016760762173605656
2021-11-29,Colorado,8315,0,0,0,0.9894167167769092,0.010463018641010223,1.2026458208054362e-4
